property_id,account_number,name,address1,city,state_prov,postal_code,primary_contact_id
26,21739-0,Littleton Garage Door Service,6669 S Scottwood CT,Snoqualamish,WA,98215,no data
23,8767-000,Seniors in Community Living Inc,9095 S Greyson Dr,Snoqualamish,WA,98215,10000085
45,22096-000,Rainbow Rebuilders,6694 S Abbotsford Way,Snoqualamish,WA,98215,10000077
68,22782-000,Storewise Software Inc,5038 Somerset Rd,Snoqualamish,WA,98215,no data
69,22782-000,Lakewood Family Medical Clinic Pc,7846 Champions CT,Snoqualamish,WA,98215,10000109
82,5081-000,Polymedica Industries Inc,2672 N Hornsea Dr,Snoqualamish,WA,98215,10000086
90,5644-000,Sheridan Sanitation District #2,7022 N Ryan Meadow Pl,Snoqualamish,WA,98215,no data
97,5684-000,Peck Doran P C,1556 N Inverness St,Snoqualamish,WA,98215,10000092
138,6669-000,T-M Service CO,1328 S Dogwood Ln,Snoqualamish,WA,98215,10000087
150,7280-000,Mex Imports,6471 S Chant CT,Snoqualamish,WA,98215,10000116
151,7281-000,Tafoya Electric,1795 S Church View CT,Snoqualamish,WA,98215,10000088
219,8070-000,Taylors Liquors,445 S Perkins Ln,Snoqualamish,WA,98215,10000091
221,22403-000,North Star Liquor,7698 E Hunters Bnd,Snoqualamish,WA,98215,10000079
224,8087-000,LA Salle Partners,5622 E Sterling Glen Dr,Snoqualamish,WA,98215,10000117
246,8403-000,Screenplay Video Centers,7805 S Archer Ln,Snoqualamish,WA,98215,10000118
248,8415-000,Willie's Place,8488 S Strathmoore Rd,Snoqualamish,WA,98215,10000119
249,8430-000,Malecall II,9044 S Kelsey CT,Snoqualamish,WA,98215,10000120
255,8561-000,World Computer Corporation,7816 S Yankee St,Snoqualamish,WA,98215,10000121
274,8795-000,Specialty Systems,785 S Wallsend CT,Snoqualamish,WA,98215,10000089
294,9094-000,Mercer William M Incorporated,5707 S Chatham Dr,Snoqualamish,WA,98215,10000122
295,9122-000,Sears J L &#38; Associates Real Estate,7323 S Fairway Rd,Snoqualamish,WA,98215,10000102
296,9122-000,Lamar Ventures,2941 S Adara Dr,Snoqualamish,WA,98215,10000123
299,9125-000,Midwest Sales CO,4557 S Frank St,Snoqualamish,WA,98215,10000124
309,9315-000,A Flag House,1583 W Kim Rd,Snoqualamish,WA,98215,10000132
339,9897-000,Riley Income Tax Service,1710 W Liberty Rd,Snoqualamish,WA,98215,10000125
343,9981-000,Redding Equipment CO,2230 S Vinmar Way,Snoqualamish,WA,98215,10000126
347,no data,Resolution Trust Corp,1905 S Hillyer Ave,Snoqualamish,WA,98215,10000127
